id,type,text,category,characteristic_form,deterministic,note
42,IoT,"what was the supply temperature from CQPA AHU 2B on sept 19, 2020 at quarter to midnight, at site MAIN? return in a file",Knowledge Query,"The expected response should be the supply temperature from asset CQPA AHU 2B at 11:45pm on September 19, 2015.  The returned value should be a reference to a file containing the value",,
43,IoT,how much power was CQPA AHU 1 (MAIN site) using on 6/14/20?,Knowledge Query,"The expected response should be either a list of power consumption values for asset CQPA AHU 1 at the MAIN site on June 14, 2016, or the average power consumption on June 14, 2016. The returned value should either be the average power consumption, or a reference to a file containing the power consumption values for the date June 14, 2016.",,
44,IoT,Can I list all the metrics monitored by CQPA AHU 2B? use site MAIN,Knowledge Query,The expected response should be a list of all the metrics which may be obtained for asset CQPA AHU 2B? at the MAIN site.  The return value should be a reference to a file which lists the metrics.,,
45,IoT,"What is the power consumption of CQPA AHU 1 on mar 13 '20, site MAIN?",Knowledge Query,"The expected response should be a list of the power consumption values for asset CQPA AHU 1 at the MAIN site for January 13, 2023, or the average power consumption for January 13, 2023.  The returned value should be a reference to a file, or else a single average power number.",,
46,IoT,retrieve the supply temperature data recorded last week for Chiller 3 (MAIN site)?,Knowledge Query,The expected response should be the supply temperature for asset Chiller 3 for the site MAIN for last week.  The returned value should be a reference to a file listing the supply temperatures.,,
47,IoT,list all the chillers at site MAIN,Knowledge Query,The expected response should be a list of all chiller assets for the site MAIN.  The returned value should be a reference to a file containing the list of chiller assets.,,
48,IoT,"what was the return temperature from CQPA AHU 2B on sept 19, 2020 at 7pm, at site MAIN? return data in a file",Knowledge Query,"The expected response should be the return temperature for asset CQPA AHU 2B at the MAIN site, for 7pm on September 19, 2015. The return value should reference a file that contains the return temperature.",,
101,,List all failure modes of asset Chiller.,,"The failure modes for Chiller are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",True,
102,,List all failure modes of asset Chiller 6.,,"The failure modes of asset Chiller 6 are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",True,
103,,List all failure modes of asset Wind Turbine.,,the answer should contain a list of meaningful failure modes for asset wind turbine.,False,
104,,List all installed sensors of asset Chiller 6.,,"The installed sensors of asset Chiller 6 are: Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.",True,
105,,Provide some sensors of asset Wind Turbine.,,the answer should contain a list of sensor names for asset wind turbine.,False,
106,,List all failure modes of Chiller 6 that can be detected by Chiller 6 Supply Temperature.,,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",False,
107,,List all failure modes of Chiller 6 that can be detected by temperature sensors.,,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",False,
108,,List all failure modes of Chiller 6 that can be detected by temperature sensors and power input sensors.,,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",False,
109,,Get failure modes for Chiller 6 and only include in final response those that can be monitored using the available sensors.,,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",False,
110,,Are there any failure modes of Chiller 6 that can be predicted by monitoring the vibration sensor data?,,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",False,
111,,List all sensors of Chiller 6 that are potentially relevant to Compressor Overheating.,,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",False,
112,," If compressor overheating occurs for Chiller 6, which sensor should be prioritized for monitoring this specific failure?",,"the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.] ",False,
113,," If Evaporator Water side fouling occurs for Chiller 6, which sensor is most relevant for monitoring this specific failure?",,"the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.] ",False,
114,,What are the failure modes of Chiller 6 that can be identified by analyzing the data from the available sensors?,,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",False,
115,,"Purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?",,the answer should be a plan by the maintenance experts to early detect the failure of purge unit of chiller 6. the answer should include the sensors that can be used to detect the failure of purge unit of chiller 6,False,
116,,Generate a machine learning recipe for detecting overheating failure for Chiller 6. Result should include feature sensors and target sensor.,,the answer should be a machine learning recipe for detecting overheating failure for Chiller 6. the answer should include the sensors that can be used to detect the failure of overheating for Chiller 6,False,
117,,"When compressor motor of Chiller 6 fails, what is the temporal behavior of the power input?",,the answer should describe the temporal behavior of the power input of Chiller 6,False,
118,,"When power input of Chiller 6 drops, what is the potential failure that causes it?",,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",False,
119,,"When the Liquid Refrigerant Evaporator Temperature of Chiller 6 drops, what failure is most likely to occur?",,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",False,
120,,"I want to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. Provide me a list of sensors that I should use, along with the temporal behavior,",,"the answer should contain how to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. The answer should include sensors that I should use, along with the temporal behavior,",False,
201,TSFM,What types of time series analysis are supported?,Knowledge Query,"The expected response should be: the available AI tasks are [{task_id:'tsfm_integrated_tsad',task_description:'Time series Anomaly detection'},{task_id:'tsfm_forecasting',task_description:'Time series Multivariate Forecasting'},{task_id:'tsfm_forecasting_tune',task_description:'Finetuning of Multivariate Forecasting models'},{task_id:'tsfm_forecasting_evaluation',task_description:'Evaluation of Forecasting models'}]",,
202,TSFM,What are time series pretrained models are available in system?,Knowledge Query,"The expected response should be: The available pretrained models are [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'},{model_id:'ttm_512_96', model_checkpoint:'data/tsfm_test_data/ttm_512_96', model_description:'Pretrained forecasting model with context length 512'},{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'},{model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",,
203,TSFM,Are any time series forecasting models supported?,Knowledge Query,"The expected response should be: Yes, several time series forecasting models are supported.",,
204,TSFM,"Is TTM (Tiny Time Mixture), a time series model supported?",Knowledge Query,"The expected response should be: Yes, several TTM models are supported",,
205,TSFM,Is LSTM model supported in TSFM?,Knowledge Query,The expected response should be: LSTM model is not supported.,,
206,TSFM,Is Chronos model supported in TSFM?,Knowledge Query,"The expected response should be: No, Chronos is not supported",,
207,TSFM,Is Anomaly Detection supported in TSFM?,Knowledge Query,"The expected response should be: Yes, anomaly detection is supported in TSFM.",,
208,TSFM,Is Time Series Classification supported in TSFM?,Knowledge Query,The expected response should be: Time Series Classification is not supported in TSFM,,
209,TSFM,Is any model with context length 96 supported in TSFM?,Knowledge Query,"The expected response should be: Yes, there is a model with context length 96",,
210,TSFM,Is any model with context length 1024 supported in TSFM?,Knowledge Query,"The expected response should be: No, there is no model with context length 1024",,
211,TSFM,Find a model for energy forecasting.,Knowledge Query,"The expected response should be: [{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}, {model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",,
212,TSFM,Find a model for energy forecasting with context length 96 and nothing else.,Knowledge Query,The expected response should be: ttm_energy_96_28,,
213,TSFM,Find all models with context length 96.,Knowledge Query,"The expected response should be: [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'}, {model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}]",,
214,TSFM,How many models with context length exactly 96 are supported?,Knowledge Query,The expected response should be: There are 2 models with a context length of 96,,
215,TSFM,Does TSFM support time series regression tasks or any model for forecasting with context length 1024?,Knowledge Query,The expected response should be: TSFM does not support regression and there is no model with context length 1024,,
216,TSFM,"Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp. Use the following parameters as inputs 'Chiller 9 Liquid Refrigerant Evaporator Temperature,Chiller 9 Return Temperature,Chiller 9 Tonnage,Chiller 9 Setpoint Temperature,Chiller 9 Supply Temperature,Chiller 9 Chiller % Loaded,Chiller 9 Condenser Water Supply To Chiller Temperature,Chiller 9 Power Input,Chiller 9 Chiller Efficiency'",Inference Query,The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,,
217,TSFM,Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp.,Inference Query,The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,,
218,TSFM,Use data in 'chiller9_annotated_small_test.csv' to forecast 'Chiller 9 Condenser Water Flow' with 'Timestamp' as a timestamp.,Inference Query,The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,,
219,TSFM,"Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use the following parameters as inputs 'Chiller 9 Liquid Refrigerant Evaporator Temperature,Chiller 9 Return Temperature,Chiller 9 Tonnage,Chiller 9 Setpoint Temperature,Chiller 9 Supply Temperature,Chiller 9 Chiller % Loaded,Chiller 9 Condenser Water Supply To Chiller Temperature,Chiller 9 Power Input,Chiller 9 Chiller Efficiency'",Inference Query,The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,,
220,TSFM,Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp.,Tuning Query,The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT},,
221,TSFM,Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp. Use 1% of data for tuning,Tuning Query,The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT},,
222,TSFM,I need to perform Time Series anomaly detection of 'Chiller 9 Condenser Water Flow' using data in chiller9_tsad.csv,Anomaly Detection Query,The anomaly detection results are stored in file data/tsfm_test_data/tsad_conformal.csv,,
223,TSFM,Find and run several methods to analyze data sensor 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_tsad-small.csv'.,Complex Query,The forecasting results for 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_annotated_small_test.csv' are available in the json file and results of anomaly detection are stored in a csv file,,
400,Workorder,Get the work order of equipment CWC04013 for year 2017.,,"There will be 33 records. The expected response should retrieve all work orders for equipment CWC04013 in the year 2017, ensuring correct equipment ID and time filtering.",True,
401,Workorder,I would like to check the work order distribution for the equipment labeled as CWC04013 for the year 2017.,,"Work order with primary Code MT010 occurred 3 times and code MT013 occurred once. The expected response should retrieve and summarize work orders by type or month for equipment CWC04013 during 2017, ensuring correct year and equipment filtering.",True,
402,Workorder,I would like to retrieve the preventive work order details for the equipment labeled as CWC04013 for the year 2017.,,"There are 31 preventive work orders for this utterance.  The expected response should retrieve preventive maintenance work orders for CWC04013 in 2017, correctly filtering by asset, preventive work order type and year.",True,
403,Workorder,I would like to retrieve the corrective work order details for the equipment labeled as CWC04013 for the year 2017.,,"The output is two corrective work orders. The expected response should retrieve corrective maintenance work orders for CWC04013 during 2017, verifying correct work order type and year.",True,
404,Workorder,"Get the events of equipment CWC04009 for year 2019 and provide a summary based on the event group, such as work order event, alerts and anomaly events.",,"There are 14 work orders, 0 alert, and 0 anomaly. The expected response should retrieve all event types (work orders, alerts, anomalies) for CWC04009 in 2019 and summarize them by event group.",True,
405,Workorder,"Get all the events of equipment CWC04009 for the June of 2020 and provide a summary based on the event group for work order, alert, and anomaly.",,"There are 3 work order events, 30 alert events, and 30 anomaly events.  The expected response should retrieve and summarize events (work order, alert, anomaly) for CWC04009 during June 2020, grouped correctly by event type and time range (June 2020).",True,
406,Workorder,Get the summary of the events of equipment CWC04009 for the June of 2020 and provide a summary based on the event group.,,"There are 30 alerts, 30 anomalies, and 3 work orders. The expected response should summarize events of CWC04009 in June 2020 by event group, ensuring complete event retrieval and correct categorization/grouping (alert, anomalies, and work order).",True,
407,Workorder,"Get the daily count of the events of alert, anomaly for 2021 for equipment CWC04009.",,"There are 82 days have events. The expected response should retrieve daily counts of alerts and anomalies for CWC04009 throughout 2021, verifying correct aggregation over time (daily) and filtering of asset, event type (alert), and year.",True,
408,Workorder,"Get the daily count of the events of alert, anomaly for the May 2020 for equipment CWC04009.",,"There are 26 days have events. The expected response should retrieve daily counts of alerts and anomalies for CWC04009 for May 2020, verifying correct aggregation over time (daily) and filtering of asset, event type (alert, anomaly), and time range - May 2020.",True,
409,Workorder,"Get the daily count of alert, anomaly and work order event for the May 2020 for equipment CWC04009.",,"There are 26 days with the records. Depending on the LLM used, the result could be daily total event summary or daily summary for each event type.  The expected response should retrieve and summarize daily counts of alerts, anomalies, and work order events for CWC04009 for May 2020, verifying correct aggregation over time (daily) and filtering of asset, event type (alert, anomaly and work order), and time range - May 2020.",False,We have both work order business data object and work order event as a group type in the event file. So we make a change of the utterance.
410,Workorder,"Get all the events of equipment CWC04009 for the first week of June of 2020 and provide a summary based on the event group for work order event, alert, and anomaly.",,"There are 6 alert records. The expected response should retrieve events for CWC04009 in the first week of June 2020 and group them by event type. verifying correct aggregation over time (daily) and filtering of asset, event type (alert, anomaly and work order), and time range - First week of May 2020.",True,
411,Workorder,"Which corrective work orders for equipment CWC04009 in year 2017 can be bundled in the next maintenance window? A bundle means that several work orders are executed in a short period, say in two weeks.",,"There are two bundles, one has 10, and another has 3 corrective work orders. The expected response should identify corrective work orders for CWC04009 in 2017 that can be bundled together for execution within a two-week maintenance window. Ensure the calculation and bundile is correct",False,
412,Workorder,I would like to predict the next work order probability for the equipment labeled as CWC04013.,,The expected response should be able to identify the next likely work order for CWC04013 based on historical work order patterns.  It should be a list of work order with the probabilities (the summation of the probabilities should be one).,False,
413,Workorder,"Assuming that the current date is 2018-01-02, can you predict next work order probability for me for equipment CWC04009 using predict_next_work_order_probability function?",,"Freon Management (code MT012) under Maintenance and Routine Checks has a probability of 0.2. The output should have the probability for primary code.  For example, the highest probability of next work order.  The expected response should be able to use historical work order data up to 2018-01-02 for CWC04009 to identify or predict the next work order probability, ensuring no cutoff of results. More specific, It should be a list of work order with the probabilities (the summation of the probabilities should be one).",True,The output token size changed to 2000 to make sure there is no cut-off of the generated results.
414,Workorder,"Assuming that the current date is 2018-01-02, can you predict next work order probability for me for equipment CWC04009?",,"Failure codes MT012, MT008, and M013 each have a probability of 0.2. It will predict the next work order probability for CWC04009 using available data up to 2018-01-02.  The expected response should be able to use historical work order data up to 2018-01-02 for CWC04009 to identify or predict the next work order probability, ensuring no cutoff of results. More specific, It should be a list of work order with the probabilities (the summation of the probabilities should be one).",True,
415,Workorder,"When an anomaly happens for equipment CWC04009, can you recommend a list of candidate work orders and give me a summary of work order as percentage?",,An possible example is work orders are split evenly with 50% for MT010 and 50% for MT013 for equipment CWC04009.,False,
416,Workorder,"When an anomaly happens for equipment CWC04009, can you recommend top three work orders to address this problem?",,"It gives a list of work order with a primary failure code. Based on an anomaly in CWC04009, recommend the top three most appropriate work orders for remediation.",False,
417,Workorder,"Just notice an anomaly 'KPI Cooling Load above upper bound' happens for equipment CWC04009, can you recommend top three work orders to address this problem?",,"The output will be a list of the primilar failure codes with three work order types. In more details, upon observing the 'KPI Cooling Load above upper bound' anomaly, suggest the top three corrective work orders for CWC04009.",False,
418,Workorder,"Just notice two anomalies 'KPI Cooling Load above upper bound' and 'KPI Delta Setpoint above upper bound' happened for equipment CWC04009, can you recommend top three work orders to address this problem?",,"The output will be a list of the primilar failure codes with three work order types.  Upon observing two anomalies, recommend the top three corrective actions for CWC04009 to address both issues.",False,
419,Workorder,"Using your knowledge of the industrial asset, can you suggest me a work order for alert RUL0014 with the context of 'Chiller - Cooling Substance Delta T Low' for closed-loop water-cool chiller its load is higher than the upper bound?",,The output will be a one or more the primilar failure codes with their work order types. Recommend an appropriate work order to address the alert RUL0014 for the cooling issue in the closed-loop water-cooled chiller.,False,
420,Workorder,"Assume today is early of July 2020, I would like to review the performance of chiller 9 with equipment ID CWC04009 for June 2020 and track any anomalies or operation violations as alerts.",,"There were 30 alerts for 'Chiller - Evaporator Approach High', and anomalies were observed in Cooling Load (12 instances), Flow Efficiency (9), Delta Setpoint (6), and Delta Temperature (3).  The LLM ReAct process is to review the operational performance and detect anomalies or alerts for Chiller 9 (CWC04009) during June 2020, confirming correct equipment ID and timeframe.",False,
421,Workorder,"In May and June of 2020, numerous anomalies and alerts have been reported for Chiller 9 with equipment ID CWC04009. Could you review them and suggest appropriate work orders or actions?",,The output will be a one or more the primilar failure codes. The LLM ReAct analyze anomalies and alerts for Chiller 9 (CWC04009) during May–June 2020 and recommend appropriate corrective work orders.,False,
422,Workorder,"After checking existing work orders, anomalies and alerts in May and June 2020 for Chiller 9 with equipment ID CWC04009, should I recommend a new work order or is it too early to decide for July 2020?",,"The output will be zeor or more the primilar failure codes recommendaed as possible work orders. Evaluate whether a new work order should be created for July 2020 based on the review of anomalies, alerts, and existing work orders from May–June 2020 for CWC04009.",False,
423,Workorder,I am using historical work order information upto end of June 2020 for prioritizing maintenance. Which work orders should I prioritize first for Chiller 9 with equipment ID CWC04009 in July 2020?,,The output will be zeor or more the primilar failure codes recommendaed as possible work orders with priorities. Use historical work order data up to June 2020 to prioritize the most urgent work orders for Chiller 9 (CWC04009) in July 2020.,False,
424,Workorder,"Can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for Chiller 9 with equipment ID CWC04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?",,"There will be three bundles generated with the size of 15, 6 and 2 respectively.  Suggest bundles of corrective work orders for CWC04009 across 2017–2019, ensuring each bundle contains at least two work orders scheduled within a two-week window.",False,
425,Workorder,How can I analyze anomalies across multiple KPIs to better diagnose the root cause of these issues?,,"Based on the utilzied LLM, the process begins with collecting and cleaning historical KPI and maintenance data, followed by detecting anomalies across key performance indicators. These anomalies are then analyzed for correlations, leading to root cause hypotheses that are validated with logs and expert input, ultimately guiding the bundling of corrective work orders into optimized maintenance actions. Provide a method to analyze anomalies across multiple KPIs for more accurate root cause diagnosis.",False,
426,Workorder,Could you identify any causal linkages between anomalies across KPIs to better understand the severity and interconnectedness?,,"The LLM ReAct identifies causal relationships between anomalies across KPIs to understand system-wide impact and severity. Two causal linkages were identified between anomalies across KPIs: one related to Misalignment under Structural and Mechanical Failures and another to Insufficient Insulation under Energy Efficiency. Each issue occurred once, suggesting distinct yet potentially impactful contributors to system performance degradation.",False,
427,Workorder,"Since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?",,"The results may vary, and the actual outcome depends on the specific LLM used. Filter and prioritize the most meaningful 20% of alerts from chillers for detailed analysis, excluding the spurious ones.",False,
428,Workorder,Could you generate rules that help distinguish meaningful alerts from spurious ones?,,"Depends on the LLM utuilzied, the outcome could be 1) Real thredholds for meaning alert; or 2) the steps to generate such rules.  Develop rules or criteria to distinguish genuine alerts from spurious or false positives in operational monitoring.",False,
429,Workorder,How can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for Chiller 9 with equipment ID CWC04009?,,The output will be one or more the alter rule codes. Explain how operational alert reasoning can be used to improve the generation of actionable warning messages for Chiller 9 (CWC04009).,False,
430,Workorder,"We are building an early detection and remediation system for potential failures, such as condenser water side fouling, for Chiller 9 with equipment ID CWC04009 at main site site with two month’s period from 2020-05-01T12:30:00 to 2022-06-30T19:30:00.  We like to review the chiller’s performance of the period with any anomalies or operation violations as alerts, and provide the guideline on work order generation?",,"The output will be one or more the primilar failure codes with corresponding work order types. Review anomalies and alerts for Chiller 9 (CWC04009) at main site between 2020-05-01 and 2022-06-30, and provide work order generation guidelines.",False,
431,Workorder,"Assume today is early of July 2020, I would like to review the performance of chiller 9 with equipment ID CWC04009 for June 2020 and track any anomalies or operation violations as alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.",,"The output will be zero or one the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 anomalies and alerts for Chiller 9 (CWC04009), list scheduled corrective work orders, and determine if a new work order is needed.",False,
432,Workorder,"I would like to review the performance of chiller 9 with equipment ID CWC04009 at main site site for June 2020 and track any anomalies or operation alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.",,"The output will be zero or more the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 performance of Chiller 9 (CWC04009) at main site, track anomalies and alerts, and evaluate corrective work order needs.",False,
